category,topaneu_id,topaneu_name,p3_id,p3_name,mapping_type,confidence,notes
Location (Aneurysm),1,R-1.1 VA trunk,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),2,L-1.1 VA trunk,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),3,R-1.2 PICA trunk,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),4,L-1.2 PICA trunk,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),5,R-1.3 VA-PICA junction,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),6,L-1.3 VA-PICA junction,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),7,1.4 BA trunk,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),8,1.5 VA-BA junction,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),9,R-1.6 AICA trunk,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),10,L-1.6 AICA trunk,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),11,R-1.7 BA-AICA junction,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),12,L-1.7 BA-AICA junction,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),13,R-1.8 SCA trunk,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),14,L-1.8 SCA trunk,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),15,R-1.9 BA-SCA junction,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
Location (Aneurysm),16,L-1.9 BA-SCA junction,1,Other Posterior Circulation,MERGED,HIGH,"P3 merges all non-apex posterior circulation arteries (VA, BA trunk, PICA, AICA, SCA) into Other Posterior Circulation."
